--- Test for ranking function ---

Algo #1: Treepath+Jaccard  (tree,standart): 

0.9412612612612611 0.9709601493385271

Algo #2: Keyword Search  (text): 

0.9403603603603602 0.49779509238968717

Algo #3: Keyword Search+Treepath (tree): 

0.8892792792792792 0.9460135811487158

Algo #4: Edit Distance  (text): 

0.7680180180180182 0.8891513134756377

Algo #5: Cos similarity  (text): 

0.8459459459459457 0.9274707139572002

Algo #6: Jaccard similarity  (text): 

0.8668468468468468 0.9384492600708814



89.	1.00	1.00	1.00	1.00	1.00	1.00


90.	1.00	1.00	1.00	1.00	1.00	1.00


91.	1.00	1.00	1.00	1.00	1.00	1.00


92.	1.00	1.00	1.00	1.00	1.00	1.00


93.	1.00	1.00	1.00	1.00	1.00	1.00


94.	1.00	1.00	1.00	0.93	1.00	1.00


95.	1.00	1.00	1.00	0.98	1.00	1.00


96.	0.80	0.89	0.62	0.23	0.64	0.83


97.	0.94	0.94	0.64	0.18	0.89	0.94


98.	0.94	0.71	0.71	0.43	0.61	0.41


99.	0.88	0.79	0.82	0.41	0.66	0.60


100.	0.82	0.55	0.63	0.42	0.46	0.80


101.	1.00	1.00	1.00	1.00	0.99	1.00


102.	1.00	1.00	1.00	1.00	1.00	1.00


103.	1.00	0.91	0.90	0.86	0.71	0.87


104.	1.00	0.99	0.98	0.86	0.84	1.00


105.	1.00	1.00	1.00	1.00	0.96	1.00


106.	0.71	0.98	0.49	0.56	0.58	0.79


107.	0.80	0.89	0.68	0.33	0.83	0.62


108.	0.74	0.69	0.50	0.16	0.50	0.33


109.	1.00	0.99	1.00	0.33	0.57	0.89


110.	1.00	1.00	0.91	0.34	0.72	0.96


111.	0.98	1.00	1.00	0.32	0.95	0.95




