--- Test for ranking function ---

Algo #1: Treepath+Jaccard  (tree,standart): 0.5302197802197803

Algo #2: Treepath+Jaccard  (tree,modify): 0.5134065934065932

Algo #3: Treepath+Jaccard  (pure syntax tree,standart): 0.521098901098901

Algo #4: Keyword Search  (text): 0.8962637362637363

Algo #5: Edit Distance  (text): 0.5145054945054943

Algo #6: Cos similarity  (text): 0.8103296703296703

Algo #7: Jaccard similarity  (text): 0.8415384615384612



79.	0.67	0.18	0.14	0.64	0.18	0.62	0.57


80.	0.12	0.18	0.18	0.73	0.18	0.45	0.76


81.	0.10	0.10	0.12	1.00	0.12	1.00	1.00


82.	0.08	0.12	0.12	1.00	0.12	1.00	1.00


83.	0.08	0.10	0.08	0.95	0.10	0.71	0.89


84.	0.09	0.09	0.09	1.00	0.10	0.84	1.00


85.	0.08	0.10	0.09	1.00	0.10	0.96	1.00


86.	0.04	0.07	0.07	0.89	0.07	0.57	0.78


87.	0.07	0.07	0.07	0.98	0.07	0.87	0.64


88.	0.07	0.07	0.05	0.88	0.07	0.48	0.31


89.	0.03	0.03	0.03	0.99	0.03	0.53	0.88


90.	0.03	0.03	0.03	1.00	0.03	0.68	0.96


91.	0.03	0.03	0.03	1.00	0.03	0.96	0.96




