--- Test for ranking function ---

Algo #1: Treepath+Jaccard  (tree,standart): 

0.872522522522522 0.7455324176635652

Algo #2: Keyword Search  (text): 

0.9244144144144145 0.8400531679220204

Algo #3: Edit Distance  (text): 

0.5102702702702702 0.08684093929995573

Algo #4: Cos similarity  (text): 

0.8390090090090089 0.6849800620292423

Algo #5: Jaccard similarity  (text): 

0.8664864864864864 0.7356372766208832




105.	0.97	1.00	0.08	0.96	1.00


106.	0.97	0.99	0.05	0.58	0.79


107.	0.95	0.97	0.05	0.83	0.62


108.	0.82	0.85	0.05	0.50	0.33


109.	0.13	0.98	0.03	0.57	0.89


110.	0.05	1.00	0.03	0.72	0.96


111.	0.39	1.00	0.03	0.95	0.95




